school_type_enc,subject_category_enc,total_students,teacher_count,past_avg_score,past_pass_rate,submission_rate,marks_deadline_set,days_to_exam,years_of_history,predicted_avg_score
1,1,96,4,40.83,0.4226,0.7952,1,26,10,44.07
1,3,126,5,48.63,0.4472,0.8794,1,91,8,53.53
4,2,197,14,72.56,0.6343,0.8019,1,32,6,74.21
4,1,307,19,48.83,0.4856,0.5229,1,126,10,44.6
3,1,219,14,62.44,0.661,0.4954,0,353,10,60.89
1,3,350,24,79.75,0.8752,0.7785,1,360,3,85.16
3,1,186,10,61.55,0.5556,0.9382,1,171,1,66.31
4,1,160,11,65.19,0.624,0.681,1,80,8,68.66
4,1,103,5,55.59,0.5312,0.5099,0,249,10,44.53
1,3,83,3,46.82,0.4378,0.5791,1,11,8,34.56
3,3,79,3,61.82,0.6555,0.5995,1,201,4,60.11
1,3,190,10,47.86,0.5063,0.529,1,300,1,36.78
1,1,297,13,33.6,0.3411,0.5826,1,280,2,36.18
2,3,127,5,58.01,0.5566,0.5605,1,125,6,49.16
1,2,326,21,64.44,0.6618,0.3371,0,26,1,56.81
2,2,273,18,51.43,0.5113,0.5601,0,218,2,42.28
2,1,241,13,0.0,0.0,0.9921,1,60,0,66.66
1,2,80,5,38.46,0.3785,0.4009,0,246,3,36.02
4,3,75,5,95.1,1,0.5832,1,258,8,83.47
4,1,109,6,67.14,0.6152,0.7275,1,226,6,69.36
4,1,122,7,0.0,0.0,0.7711,1,170,0,59.9
2,1,285,21,57.18,0.6092,0.9708,1,301,2,65.14
2,3,239,11,43.05,0.4222,0.6021,1,170,9,41.54
3,2,186,7,80.37,0.7962,0.5957,0,269,1,71.26
3,1,150,8,71.63,0.6873,0.6513,1,344,2,67.18
3,3,78,3,63.79,0.6606,0.455,0,117,2,62.34
3,1,283,15,0.0,0.0,0.533,0,151,0,41.99
1,1,159,11,44.42,0.4389,0.5048,1,48,7,46.08
2,3,43,2,48.01,0.4131,0.9665,1,30,9,52.4
3,1,206,9,48.09,0.5259,0.9629,1,131,6,60.72
2,2,37,2,37.31,0.3796,0.6241,1,91,5,31.25
1,2,138,9,57.72,0.5411,0.9357,1,124,7,69.13
3,2,60,2,62.27,0.6351,0.6656,1,24,4,62.51
1,2,160,12,73.56,0.7051,0.6568,1,320,9,72.21
2,2,47,2,0.0,0.0,0.9033,1,361,0,56.65
2,2,245,18,46.63,0.4737,0.795,0,269,10,44.63
3,3,176,9,62.61,0.598,0.8387,1,99,3,60.98
1,2,171,11,40.48,0.3888,0.7556,1,96,9,42.25
1,2,196,14,34.1,0.3472,0.4095,0,22,3,38.39
1,2,237,10,61.53,0.599,0.6608,0,12,9,60.23
